timestamp,trial,response_time,cursor_position,target_response,response
2024-02-17 15:34:08.886783,7,0.11168319999706,29,t,t
2024-02-17 15:34:09.168321,7,0.262308600009419,30,i,i
2024-02-17 15:34:09.312743,7,0.12339939997764304,31,space,space
2024-02-17 15:34:09.579408,7,0.23978380003245547,32,r,r
2024-02-17 15:34:09.645022,7,0.03954369999701157,33,o,o
2024-02-17 15:34:09.739017,7,0.04659480002010241,34,m,m
2024-02-17 15:34:09.797261,7,0.019261299981735647,35,a,a
2024-02-17 15:34:09.924098,7,0.08220699999947101,36,n,n
2024-02-17 15:34:10.019042,7,0.08008869999321178,37,i,i
2024-02-17 15:34:10.129085,7,0.08790620003128424,38,a,a
2024-02-17 15:34:10.221348,7,0.0657126999576576,39,space,space
2024-02-17 15:34:10.544596,7,0.288279699976556,40,b,b
2024-02-17 15:34:10.655141,7,0.08190689998446032,41,a,a
2024-02-17 15:34:10.778662,7,0.10536460002185777,42,n,n
2024-02-17 15:34:11.093691,7,0.28786280000349507,43,g,h
2024-02-17 15:34:11.325617,7,0.20253970002522692,43,g,g
2024-02-17 15:34:11.473421,7,0.11636450001969934,44,l,l
2024-02-17 15:34:11.582693,7,0.0922170999692753,45,a,a
2024-02-17 15:34:11.933728,7,0.3267568000010215,46,d,d
2024-02-17 15:34:11.997184,7,0.04019620001781732,47,e,e
2024-02-17 15:34:12.171522,7,0.14505970000755042,48,s,s
2024-02-17 15:34:12.265297,7,0.07532209996134043,49,h,h
2024-02-17 15:34:12.412546,7,0.12230859999544919,50,space,space
2024-02-17 15:34:12.677321,7,0.23797739995643497,51,l,l
2024-02-17 15:34:12.796645,7,0.09025249996921048,52,i,i
2024-02-17 15:34:12.915919,7,0.09227050002664328,53,t,t
2024-02-17 15:34:13.148711,7,0.20838419999927282,54,h,h
2024-02-17 15:34:13.546242,7,0.37246770004276186,55,u,u
2024-02-17 15:34:13.809621,7,0.23627629998372868,56,a,a
2024-02-17 15:34:13.999176,7,0.17437950003659353,57,n,n
2024-02-17 15:34:14.129553,7,0.1062404999975115,58,i,i
2024-02-17 15:34:14.273415,7,0.1162254000082612,59,a,a
2024-02-17 15:34:14.406157,7,0.11608780000824481,60,space,space
2024-02-17 15:34:14.690069,7,0.2671182000194676,61,s,s
2024-02-17 15:34:14.811410,7,0.10467919998336583,62,y,u
2024-02-17 15:34:14.987054,7,0.14590170001611114,62,y,r
2024-02-17 15:34:15.202510,7,0.19562129996484146,62,y,y
2024-02-17 15:34:15.323439,7,0.1001290999702178,63,r,r
2024-02-17 15:34:15.444234,7,0.10447999997995794,64,i,i
2024-02-17 15:34:15.595570,7,0.121786100033205,65,a,a
2024-02-17 15:34:15.715710,7,0.09129030001349747,66,space,space
2024-02-17 15:34:16.146376,7,0.40580000000773,67,g,g
2024-02-17 15:34:16.438741,7,0.2651414999854751,68,a,a
2024-02-17 15:34:16.551081,7,0.09367180004483089,69,b,b
2024-02-17 15:34:16.721110,7,0.1465866999933496,70,o,o
